timestamp_ms,speed_mm_per_s,smoothed_speed_mm_per_s
1630002064937,1566.22,1470.23
1630002064953,1443.52,1457.08
1630002064970,1367.31,1447.95
1630002064987,1504.17,1447.95
1630002065003,1518.68,1478.28
1630002065020,1666.58,1478.28
1630002065037,1333.94,1478.28
1630002065054,1463.80,1483.99
1630002065070,1433.79,1483.99
1630002065087,1574.65,1483.99
1630002065103,1664.33,1483.99
1630002065120,1514.74,1509.46
1630002065137,1450.94,1509.46
1630002065154,1480.87,1497.81
1630002065170,1477.26,1479.06
1630002065187,1404.79,1470.53
1630002065204,1323.69,1470.53
1630002065220,1678.98,1479.06
1630002065237,1454.16,1479.06
1630002065254,1608.43,1479.06
1630002065270,1370.43,1465.71
1630002065287,1487.42,1465.71
1630002065304,1441.02,1465.71
1630002065320,1546.77,1465.71
1630002065337,1433.58,1447.59
1630002065354,1516.91,1470.79
1630002065370,1526.28,1502.17
1630002065387,1556.72,1502.17
1630002065403,1452.35,1502.17
1630002065420,1574.88,1502.17
1630002065437,1327.98,1502.17
1630002065454,1541.10,1521.59
1630002065470,1446.51,1521.59
1630002065487,1643.09,1521.59
1630002065504,1270.54,1521.59
1630002065520,1586.36,1533.69
1630002065537,1386.22,1496.73
1630002065554,1531.14,1491.75
1630002065570,1431.08,1488.83
1630002065587,1486.48,1466.49
1630002065604,1375.31,1466.49
1630002065620,1499.87,1466.49
1630002065637,1462.34,1474.41
1630002065654,1607.34,1474.41
1630002065670,1349.52,1474.41
1630002065687,1497.65,1474.41
1630002065703,1480.13,1483.31
1630002065720,1569.31,1483.31
1630002065737,1422.41,1483.31
1630002065754,1423.11,1471.24
1630002065770,1512.88,1488.89
1630002065787,1544.54,1488.89
1630002065804,1438.49,1488.89
1630002065820,1617.49,1488.89
1630002065837,1244.46,1488.89
1630002065854,1564.97,1496.51
1630002065870,1597.41,1528.71
1630002065887,1625.60,1528.71
1630002065904,1307.21,1528.71
1630002065920,1618.43,1554.76
1630002065937,1468.86,1554.76
1630002065953,1578.20,1571.58
1630002065970,1457.90,1571.58
1630002065987,1471.60,1518.29
1630002066004,1468.63,1518.29
1630002066020,1677.11,1524.90
1630002066037,1338.43,1470.23
1630002066054,1492.51,1470.23
1630002066070,1419.26,1470.23
1630002066087,1559.69,1470.23
1630002066104,1409.45,1470.12
1630002066120,1629.34,1470.12
1630002066137,1364.42,1470.12
1630002066154,1413.45,1443.95
1630002066170,1446.12,1432.69
1630002066187,1535.14,1432.69
1630002066204,1430.25,1438.18
1630002066220,1564.67,1438.18
1630002066237,1506.91,1476.51
1630002066254,1458.57,1452.34
1630002066270,1515.75,1482.74
1630002066287,1397.59,1452.34
1630002066304,1358.96,1452.34
1630002066320,1554.93,1482.74
1630002066337,1400.26,1482.74
1630002066354,1568.84,1482.74
1630002066370,1433.35,1482.74
1630002066387,1515.41,1482.74
1630002066404,1390.37,1445.96
1630002066420,1592.37,1474.38
1630002066437,1470.94,1452.15
1630002066474,761.04,1452.15
1630002066487,1905.50,1493.18
1630002066504,1475.09,1473.02
1630002066520,1529.27,1495.25
1630002066537,1361.25,1473.02
1630002066554,1415.25,1473.02
1630002066570,1530.16,1473.02
1630002066587,1331.51,1473.02
1630002066604,1422.81,1446.88
1630002066620,1509.41,1448.95
1630002066637,1396.88,1448.95
1630002066654,1486.49,1448.95
1630002066670,1619.24,1454.65
1630002066687,1346.66,1419.03
1630002066704,1451.22,1437.01
1630002066720,1431.35,1441.28
1630002066737,1549.45,1441.28
1630002066754,1408.36,1441.28
1630002066770,1566.46,1468.86
1630002066787,1398.31,1441.28
1630002066804,1509.51,1468.86
1630002066820,1500.03,1475.62
1630002066837,1425.43,1441.28
1630002066854,1363.25,1441.28
1630002066870,1589.55,1465.69
1630002066887,1489.00,1494.52
1630002066904,1460.08,1474.54
1630002066920,1497.42,1493.21
1630002066937,1554.92,1493.21
1630002066954,1352.30,1493.21
1630002066970,1625.46,1493.21
1630002066987,1406.03,1474.54
1630002067004,1357.78,1474.54
1630002067020,1492.23,1490.62
1630002067037,1435.00,1474.54
1630002067054,1530.41,1476.15
1630002067070,1455.99,1474.11
1630002067087,1480.27,1468.13
1630002067104,1377.03,1445.49
1630002067120,1496.76,1468.13
1630002067137,1461.22,1458.61
1630002067154,1346.68,1458.61
1630002067170,1567.79,1470.75
1630002067187,1439.92,1458.61
1630002067204,1473.42,1467.32
1630002067220,1532.10,1467.32
1630002067237,1491.47,1476.84
1630002067254,1447.65,1467.32
1630002067270,1575.70,1482.44
1630002067287,1402.63,1467.32
1630002067304,1457.30,1465.36
1630002067320,1459.87,1466.64
1630002067337,1494.47,1466.64
1630002067354,1435.18,1466.64
1630002067370,1584.09,1475.67
1630002067387,1383.88,1458.59
1630002067404,1441.79,1452.47
1630002067420,1403.27,1449.54
1630002067437,1559.54,1449.54
1630002067454,1290.36,1449.54
1630002067470,1600.45,1450.83
1630002067487,1385.80,1438.49
1630002067504,1461.06,1438.49
1630002067520,1461.42,1451.43
1630002067537,1483.82,1451.43
1630002067554,1399.01,1451.43
1630002067570,1508.13,1461.24
1630002067587,1428.10,1461.24
1630002067604,1642.13,1461.24
